-----------------------
Table for pvt_seq
-----------------------
APPonly,OSonly,CrossP[+fetchall+opt],CrossP[+predict],CrossP[+predict+opt]
3499,2044,2046,3527,16658
-----------------------
Table for pvt_rand
-----------------------
APPonly,OSonly,CrossP[+fetchall+opt],CrossP[+predict],CrossP[+predict+opt]
3796,3787,3688,3086,30716
-----------------------
Table for shared_seq
-----------------------
APPonly,OSonly,CrossP[+fetchall+opt],CrossP[+predict],CrossP[+predict+opt]
1436,2486,1437,2349,4597
-----------------------
Table for shared_rand
-----------------------
APPonly,OSonly,CrossP[+fetchall+opt],CrossP[+predict],CrossP[+predict+opt]
N/A,N/A,N/A,N/A,N/A
